3	0.33
5	0.80
2	0.50
6	0.50
8	0.50
5	0.80
9	0.77
6	0.67
0	0.00
5	1.00
4	0.25
7	1.00
6	0.50
10	0.60
0	0.00
3	0.66
6	0.83
1	1.00
7	0.42
5	0.40
1	1.00
6	0.33
6	0.67
5	0.20
6	0.50
5	0.80
0	0.00
2	0.00
2	0.50
7	0.71
6	0.33
4	0.25
3	0.33
5	0.60
5	0.83
7	0.57
4	0.75
2	0.50
4	0.50
3	0.33
4	0.00
5	0.00
6	0.33
4	0.25
4	0.75
2	0.00
3	0.33
2	1.00
2	0.00
6	0.33
6	0.33
6	0.33
2	1.00
5	0.80
4	0.75
8	0.25
3	0.00
9	0.33
5	0.60
4	0.75
7	0.43
10	0.80
4	0.50
10	0.80
6	0.33
6	0.50
5	0.60
8	0.87
6	0.17
4	0.50
4	0.25
6	0.50
5	0.80
3	0.33
5	0.40
8	0.37
9	0.56
4	0.50
5	0.60
7	0.43
6	0.33
5	0.60
5	0.60
8	0.37
1	0.00
